Cellline,RHEB,TIPIN,OR4A47,NUP133,CPNE8-AS1,PDIA4,RNU6-899P,NRXN1-DT,SMIM41,RPS12P2,IGHJ2,SLC2A3P2,CES4A,TCTE1,TAX1BP1,RPL32P26,PNCK,CNOT10-AS1,OR3A2,COL6A2,ZNF296,RNU7-179P,PTS,PIGFP2,SPSB3,CFAP90,DPF3,C19orf33,OR13C2,PDE4B-AS1,SBNO1-AS1,RNU6ATAC30P,SELENOS,LINC01535,SYT2,CHRM4,RNU6-1017P,LSP1P1,LINC02957,TMC5,DSG4,MTND2P4,PPP1R15B,LINC00355,IFI35,LINGO3,MTND6P32,PRKAR1B-AS1,TMEM274P,ZNF574,SNRPEP5,DUSP1,LINC01091,RNU6-1174P,RN7SL237P,ZCCHC18,NDP,MIR1537,RNA5SP324,CFAP418,OXCT1-AS1,OR10AG1,CPDP1,SCRG1,SLC25A15,MTMR2,SYN1,RNU6-892P,MIR1266,INTS6P1,WIPI2,VPS26C,RN7SL321P,TM4SF5,RN7SL273P,ENO1,USP53,DDA1,NDUFA3,CACNA2D2,SRSF3P6,POMT2,MIR4694,H2AC4,RBM14,LINC00934,IQCH,RCC2P4,CPA1,MIR6852,UQCRB,EEF1A1P12,LILRB2,TERF1P4,GSG1,MARK2,RAB26,PARVA,KIF24,NAA60
786-0,1.383373404,0.902012227,0.874936666,1.076842357,1.027376416,1.383373404,0.874936666,1.06930985,1.027376416,1.084211281,0.664460869,1.076842357,1.043571725,0.883258484,1.088897121,1.027376416,0.844165993,0.87922732,0.842050121,1.055906436,0.833705138,1.04823895,0.874936666,1.229920517,1.048351022,1.401251304,0.664460869,0.833705138,1.229319416,1.076842357,0.989069722,0.674404924,0.902012227,0.833705138,1.076842357,0.874936666,0.989069722,0.873280799,1.229319416,1.043571725,0.868305633,1.329463059,1.076842357,0.873280799,0.884472871,1.016800194,0.628939199,0.865919002,1.04823895,0.833705138,1.06930985,1.068217256,0.882686753,1.077945622,1.227351653,0.628939199,0.628939199,1.076842357,1.084211281,1.39550538,1.412815656,0.874936666,0.884472871,0.888863143,0.873280799,0.874936666,0.628939199,0.63938226,0.902012227,1.44186035,1.088897121,1.05203585,0.87922732,0.842050121,0.883258484,1.04823895,0.886829044,1.016800194,0.833705138,0.87922732,1.06930985,0.664460869,0.874936666,0.883258484,0.874936666,0.989069722,0.902012227,1.077945622,1.408501665,0.88100059,1.39550538,1.06930985,0.833705138,0.628939199,1.027376416,0.874936666,1.048351022,0.874936666,0.88100059,1.048351022
A498,1.457641576,0.985094801,1.084006294,1.21394051,0.929380274,1.457641576,0.756839427,1.082180524,0.929380274,1.096345125,0.699045761,0.897174038,1.01283156,0.882910561,1.457641576,0.929380274,0.885525156,0.658426416,1.115835644,1.12653429,1.11087622,0.653453817,0.648471852,1.085588747,1.095097888,1.170751805,0.681506418,1.11087622,1.085588747,0.897174038,0.925837947,0.695467687,0.985094801,1.11087622,1.21394051,1.084006294,0.925837947,0.802967778,1.085588747,1.095097888,0.660253606,1.457641576,1.21394051,0.898071777,1.115835644,1.11087622,0.885525156,1.457641576,0.661158222,1.11087622,1.082180524,1.083233073,0.897225902,0.89693188,1.091968547,0.885525156,0.885525156,1.21394051,1.098678788,1.384402252,1.111481514,0.756839427,1.115835644,0.897225902,0.898071777,0.648471852,0.885525156,0.674444506,0.985094801,1.170751805,1.457641576,1.12653429,0.658426416,1.115835644,0.882910561,0.661158222,0.897225902,1.11087622,1.11087622,0.658426416,1.083799749,0.699045761,1.084006294,1.045692417,0.756839427,0.925837947,0.985094801,0.89693188,1.457641576,1.104610617,1.384402252,1.083799749,1.11087622,0.885525156,0.929380274,0.756839427,1.095097888,1.084006294,1.104610617,1.095097888
A549,1.078014568,1.17801523,1.117048954,1.089623217,1.105615599,1.078014568,1.130912627,1.098509285,1.105615599,1.086615474,1.086995966,0.812766033,1.088579754,0.797869903,1.115525991,1.101876491,0.831836915,1.11700476,1.045705307,0.79493009,1.098959199,0.791689212,0.806963921,1.034135523,1.058501025,1.125106214,1.086995966,1.350894681,1.059475564,0.812766033,1.094309808,1.119463623,1.422438475,1.350894681,1.04689111,1.117048954,1.094309808,1.014854697,0.793458155,1.076747165,0.851335988,1.107359436,1.04689111,1.014854697,1.283989701,0.813135215,0.831836915,1.069628141,0.795948559,1.350894681,1.084739717,1.102012156,0.839095965,0.82395543,1.109442006,0.831836915,0.849276769,1.089623217,1.086615474,1.089621097,1.125106214,1.130912627,1.302634109,0.839095965,1.014854697,0.842647621,0.849276769,1.102984565,1.429627316,1.125106214,1.115525991,0.79493009,0.813635553,1.045705307,0.797869903,0.795948559,0.839095965,0.79742905,1.098959199,0.813635553,1.110649627,1.086995966,1.133143535,0.797869903,1.079504218,1.094309808,1.17801523,0.82395543,1.107359436,1.348176361,1.089621097,1.085399977,1.002084504,0.831836915,1.114702861,1.079504218,1.058501025,1.133143535,1.348176361,1.058501025
ACHN,1.52119391,0.94589568,0.980223435,1.286114777,1.590811747,1.52119391,0.952460525,1.312345521,1.486731572,1.322734345,0.959472241,0.997269589,1.427361012,0.937860214,1.573114294,1.558057519,0.602208303,0.926347194,1.20138483,0.939700814,0.905768331,0.921702228,0.984924103,0.920183387,1.448316091,1.014449645,0.959472241,0.905768331,0.976618594,0.997269589,1.498334551,0.990653473,0.94589568,0.905768331,1.286114777,0.980223435,1.498334551,0.970677676,0.945914434,1.448316091,0.99966004,1.467159359,1.286114777,0.970677676,1.224119768,0.900846899,0.602208303,1.500331566,0.921702228,0.905768331,1.288545007,0.936292371,0.993485276,0.979491868,0.929366027,0.602208303,0.585055507,1.286114777,1.251274553,0.990215904,0.988966516,0.952460525,1.208882239,0.993485276,0.970677676,1.014750645,0.585055507,0.979604733,0.960540835,0.988966516,1.500331566,0.939700814,0.937700574,1.20138483,0.937860214,0.921702228,0.993485276,0.900846899,0.905768331,0.937700574,1.292607816,0.959472241,0.998765029,0.937860214,0.952460525,1.498334551,0.94589568,0.979491868,1.509007951,0.995524962,0.990215904,1.292607816,0.905768331,0.602208303,1.564074842,0.952460525,1.448316091,0.998765029,0.995524962,1.448316091
BT-549,1.145996024,0.807246284,1.030062841,1.048822123,0.870082786,1.145996024,1.023164535,0.84781874,0.870082786,1.175084529,0.89900448,1.089863908,1.04929957,1.022745523,1.315786538,0.870082786,1.215322894,1.063050248,1.173366559,0.874317039,0.999923502,1.214870905,1.023164535,1.033849002,0.863021571,1.410565047,0.89900448,0.999923502,1.072932612,1.089863908,0.84221019,0.89900448,0.833523881,0.999923502,1.070095747,1.030062841,0.84221019,1.071072248,1.156124308,0.863021571,1.000704172,1.123804869,1.070095747,0.879264284,0.806182772,0.835014737,0.665775431,1.289408105,1.214870905,0.999923502,0.855460939,1.358733296,0.87401348,1.046587222,1.461333202,0.665775431,0.657219533,1.048822123,1.175084529,1.517101697,1.393071719,1.023164535,0.789582612,0.85432264,0.891760623,1.023164535,0.657219533,1.491527675,0.807246284,1.393071719,1.289408105,0.874317039,0.997081458,1.173366559,1.022745523,1.214870905,0.87401348,1.009826237,0.981913809,1.063086224,0.865915392,0.89900448,0.833488774,1.022745523,1.023164535,0.84221019,0.807246284,1.046587222,1.164263865,1.311772754,1.517101697,0.865915392,0.981913809,0.665775431,0.879768662,1.023164535,0.863021571,0.833488774,1.311772754,0.863021571
CAKI-1,1.352570822,0.881565585,1.108264745,1.474272332,1.140229991,1.347133415,1.093152837,1.022437816,1.083553091,1.201171783,0.728257139,0.980744244,1.248368362,0.841018609,1.099837526,1.083553091,0.77652058,0.785959018,0.840217996,0.852633338,0.883242916,0.981713384,0.873284432,0.857230052,1.007865324,1.259182937,0.727639404,0.883242916,0.872270407,0.980744244,1.107317104,0.727639404,0.897120787,0.883242916,1.444515152,1.108264745,1.107317104,0.829435591,0.872270407,1.007865324,0.746448538,1.134978056,1.444515152,0.954733225,1.071419721,0.745032575,0.77652058,1.128607557,0.981713384,0.883242916,1.022437816,1.206684856,1.081829652,1.195211243,1.132725733,0.77652058,0.758629396,1.495285081,1.201171783,1.294506539,1.223108269,1.093152837,1.047948221,1.081829652,0.954733225,0.873284432,0.758629396,0.969295848,0.758122027,1.119083152,1.128607557,0.852633338,0.785959018,0.840217996,0.841018609,0.981713384,1.081829652,0.86729492,0.883242916,0.785959018,1.02223322,0.727639404,1.111590029,0.841018609,1.093152837,1.107317104,0.881565585,1.195211243,1.348919105,0.881035323,1.294506539,1.02223322,0.867795649,0.77652058,1.078065622,1.093152837,1.007865324,1.111590029,0.881035323,1.007865324
CCRF-CEM,0.990604793,0.97634713,0.976421384,1.000831239,1.005540097,0.990604793,0.976421384,1.001015857,1.005540097,0.995853476,1.33040974,1.000831239,1.011746938,1.04628391,0.984084765,1.005540097,0.85505038,0.995961169,1.016562493,1.001043877,1.01814823,1.003185509,0.976421384,1.01583041,1.011746938,0.972461945,0.983459914,1.021329377,1.003566899,1.000831239,1.005540097,0.980430059,0.97634713,1.021329377,1.000831239,0.976421384,1.005540097,0.995291708,1.003566899,1.011746938,0.986734058,0.984355257,1.000831239,0.995291708,1.016562493,1.021329377,0.85505038,0.984084765,1.003185509,1.021329377,0.988083128,0.972461945,0.985393201,0.995961169,1.304788304,0.85505038,0.85505038,1.000831239,0.996484793,0.97539693,0.972461945,0.976421384,1.016562493,0.985393201,0.995291708,0.976421384,0.85505038,0.97539693,0.97634713,0.972461945,0.984084765,1.001043877,0.995961169,1.016562493,1.04628391,1.003185509,0.985393201,1.021329377,1.01814823,0.995961169,0.997200721,0.983459914,0.980774828,1.150089793,0.976421384,1.005540097,0.97634713,0.995961169,0.984355257,1.003566899,0.97539693,0.997200721,1.01814823,0.85505038,1.005540097,0.976421384,1.011746938,0.980774828,1.003566899,1.011746938
COLO-205,0.972397218,1.147355895,0.95253398,1.172584685,0.954010712,0.972397218,0.95253398,0.971987353,0.947545197,0.963131476,1.10482462,0.96023266,1.025226771,0.721121441,0.953719493,0.947545197,0.619808375,0.697213548,1.036818652,0.921493098,0.983755003,0.96023266,0.916590896,1.104994236,0.97567165,1.039849081,0.978331213,0.975166974,1.104994236,0.96023266,1.151513322,0.978331213,1.147355895,0.975166974,1.172584685,0.95253398,1.151513322,1.803528316,0.944850147,0.97567165,0.705535936,0.953719493,1.172584685,1.803528316,1.175512465,0.696462717,0.629932026,0.953719493,0.96023266,0.983755003,0.971987353,1.131138141,0.952452793,1.155686092,1.29727096,0.629932026,0.629932026,1.172584685,0.963131476,1.086754642,1.039849081,0.95253398,1.04982576,0.952452793,1.803528316,0.916590896,0.629932026,0.668334684,1.147355895,1.039849081,0.953719493,0.941833038,0.697213548,1.036818652,0.720270173,0.96282369,0.952452793,0.955696854,0.983755003,0.697213548,0.971987353,0.978331213,0.95253398,1.08920872,0.916590896,1.151513322,1.147355895,1.155686092,0.965357674,0.965089384,1.086754642,0.971987353,0.983755003,0.629932026,0.954010712,0.95253398,0.97567165,0.95253398,0.965089384,0.97567165
DU-145,1.011144212,1.117641919,0.823248168,1.094644244,1.122246623,1.011144212,1.083276372,1.096235475,1.093540706,1.093993513,1.213999108,0.835601958,1.048697619,1.12150343,1.126309381,1.116499839,0.48479149,0.847671661,1.063501829,1.219457236,0.772857251,0.787837415,1.066347262,1.108721606,0.796101223,1.340026141,1.244832784,1.046876663,1.115753782,0.835601958,1.053308393,2.011554479,1.117641919,1.046876663,1.094644244,0.823248168,1.053308393,0.818492205,1.094509185,0.796101223,1.276227361,0.994525925,1.094644244,0.828814867,1.076640936,1.039983142,0.48479149,1.06676007,0.787837415,1.065514137,1.079712848,1.055044089,0.839683095,0.847214992,1.069666885,0.48479149,0.484088979,1.094644244,1.093993513,1.208966215,1.552625125,1.083276372,1.055695735,0.476847398,0.838654162,1.105802427,0.484088979,1.056944793,1.117641919,1.552625125,1.06676007,1.219457236,0.847671661,1.063501829,1.088997271,0.787837415,0.839683095,0.772741959,0.763642065,0.847671661,0.835559753,1.244832784,0.823248168,1.088997271,1.083276372,1.053308393,1.117641919,0.847214992,1.046261216,1.321873795,1.208966215,0.835559753,0.763642065,0.482117246,0.825313799,1.083276372,0.796101223,0.823248168,1.321873795,0.796101223
EKVX,1.037213404,1.256907166,1.022492142,1.033830585,0.847860512,1.037213404,0.784157369,0.890515051,0.847860512,1.054439382,1.062023984,1.046512936,1.046142591,0.794458696,1.282448557,0.847860512,0.550860158,1.087326787,1.023485603,0.818456269,1.016778446,0.780239192,1.043704054,0.785502122,0.778087618,1.240499909,1.045518158,1.016778446,0.785502122,1.065882329,0.8266952,1.02734789,1.489349344,1.016778446,1.434866196,1.022492142,1.226986178,0.769931292,0.785502122,1.022178903,1.489332605,1.252798013,1.434866196,0.57261537,0.979996628,1.073998004,0.550860158,1.282448557,0.780239192,1.016778446,0.885539376,1.042228491,1.047561011,0.789944312,1.056914151,0.550860158,0.763001121,1.046725486,1.036287692,1.279017518,1.306853529,0.791995447,0.979996628,1.040705015,0.769931292,1.2784238,0.763001121,0.808457125,1.250139966,1.306853529,1.282448557,0.818456269,0.789944312,1.023485603,0.794458696,0.780239192,1.034310019,0.762232937,1.162199352,0.789944312,1.033092032,1.045518158,1.026928722,0.794458696,1.693762374,0.8266952,1.256907166,0.789944312,1.056832617,0.805433416,1.279017518,1.017705834,1.162199352,0.763001121,1.056909477,1.084490274,0.778087618,1.026928722,0.805433416,0.778087618
HCC2998,1.256769341,0.999617051,0.975418552,0.98866141,0.994056792,1.256769341,0.975418552,0.993820292,1.000128506,0.984841977,0.990293375,0.98866141,0.996035462,1.03779598,1.298049851,1.000128506,0.827413821,0.983156487,0.995494557,0.983891942,0.997330474,0.98866141,1.192629846,0.984326574,0.996035462,0.970250695,0.990293375,0.997330474,0.984326574,0.98866141,1.000128506,0.990293375,0.992080855,0.997330474,0.98866141,0.975418552,1.000128506,1.276944955,0.984326574,0.996035462,0.966316631,1.298049851,0.98866141,1.276944955,0.995494557,0.997330474,0.827413821,1.298049851,0.998020859,0.997330474,0.993820292,0.970250695,0.982640218,0.983156487,0.976948651,0.827413821,0.827413821,0.98866141,0.984841977,0.967204933,0.970250695,0.975418552,0.995494557,0.982640218,1.276944955,1.192629846,0.827413821,0.967204933,0.999617051,0.970250695,1.298049851,0.983891942,0.983156487,0.995494557,1.03779598,0.998020859,0.982640218,0.997330474,0.997330474,0.983156487,0.990897895,0.990293375,0.975418552,1.149411412,0.975418552,1.000128506,0.999617051,0.983156487,1.256769341,0.984326574,0.967204933,0.990897895,0.997330474,0.827413821,0.994056792,0.975418552,0.996035462,0.975418552,0.984326574,0.996035462
HCT-116,0.991730338,0.99360872,0.992371774,0.981573202,0.997140839,0.991730338,0.992371774,0.987485255,0.997140839,0.987608676,0.99337528,0.995174099,0.984689612,0.988455066,0.991730338,0.997140839,0.5858664,0.994411367,0.985174962,0.968922116,0.966175552,0.995174099,0.992371774,0.988345954,0.992694093,0.976676631,0.99337528,0.966175552,0.988345954,0.995174099,0.993478805,0.99337528,0.990892927,0.966175552,0.981573202,0.992371774,0.993478805,0.981702031,0.988345954,0.984522919,0.986171417,0.991730338,0.981573202,0.981702031,0.993787434,0.973132435,0.579814315,0.981221822,0.995174099,0.966175552,0.987485255,0.991525537,0.992888116,0.994839762,0.995043045,0.579814315,0.579814315,0.981573202,0.987608676,1.305263937,0.990985341,0.992371774,0.985174962,0.992888116,0.981702031,0.992371774,0.579814315,0.986211032,0.99360872,0.990985341,0.981221822,0.968922116,0.994411367,0.985174962,0.988455066,0.995174099,0.992888116,0.973132435,0.966175552,0.994411367,0.987166097,0.99337528,0.992371774,0.988455066,0.992371774,0.993478805,0.990892927,0.994839762,0.991730338,0.988231396,1.305263937,0.987166097,0.966175552,0.579814315,0.997140839,0.992371774,0.992694093,0.992371774,0.988231396,0.992694093
HCT-15,1.007136564,1.005201844,0.99509686,0.999143255,1.000974829,1.007136564,0.99509686,1.004260773,1.000974829,0.999609553,0.986492333,1.003904269,0.990649499,0.99702657,0.998881934,1.000974829,0.567443639,0.996265845,0.998325473,0.992849309,0.969755815,1.000149508,0.99509686,0.996024493,0.994125509,0.98172375,1.00860501,0.969755815,0.996024493,1.003904269,1.000974829,1.00860501,1.005201844,0.969755815,0.999143255,0.99509686,1.000974829,0.991195531,0.996024493,0.994125509,0.9981407,0.998881934,0.999143255,0.991195531,0.998325473,0.969755815,0.573573935,0.998881934,0.995307157,0.969755815,1.001320604,0.988775011,0.990655957,0.996265845,1.00198987,0.573573935,0.589496006,0.999143255,0.999609553,0.994359569,0.98172375,0.99509686,0.998325473,0.989713932,0.991195531,0.99509686,0.589496006,0.994359569,1.005201844,0.98172375,0.998881934,0.992849309,0.996265845,0.998325473,0.99702657,0.995307157,0.990655957,0.969755815,0.969755815,0.996265845,0.997758744,1.00860501,0.99509686,0.99702657,0.99509686,1.000974829,1.005201844,0.996265845,1.007136564,1.006340371,0.994359569,0.997758744,0.969755815,0.573573935,1.000974829,0.99509686,0.994125509,0.99509686,1.006340371,0.994125509
HL-60,1.011183513,0.988184285,0.984489286,1.023411426,0.999716528,1.011183513,0.984489286,1.003821548,0.999716528,1.007605944,1.0105508,1.011689477,1.060641752,1.004336498,1.011183513,0.999716528,0.548741463,1.011177467,0.6415551,1.01179432,1.028104014,1.011689477,0.984489286,1.03268455,1.012252592,0.974847162,0.589509088,1.028104014,1.00947944,1.011689477,0.999716528,1.006576421,0.988184285,1.028104014,1.023411426,0.984489286,0.999716528,1.020653756,1.018390238,1.012252592,1.330282047,1.011183513,1.023411426,1.020653756,1.011974788,1.028104014,0.548741463,1.011183513,1.011689477,1.028104014,1.003821548,0.984865229,1.006573407,1.011177467,0.984301847,0.548741463,0.548741463,1.023411426,1.007605944,0.937940998,0.974847162,0.984489286,1.011974788,1.006573407,1.020653756,0.984489286,0.548741463,0.937940998,0.988184285,0.974847162,1.011183513,1.01179432,1.011177467,0.6415551,1.004336498,1.011689477,1.006573407,1.028104014,1.028104014,1.011177467,1.000836242,0.589509088,0.984489286,1.104426597,0.984489286,0.999716528,0.988184285,1.011177467,1.011183513,1.018390238,0.937940998,1.000836242,1.028104014,0.548741463,0.999716528,0.984489286,1.012252592,0.984489286,1.018390238,1.012252592
HOP-62,0.950559312,0.876864411,0.939970805,1.050731763,0.852120736,0.950559312,0.939970805,1.050838325,0.852120736,1.087387136,1.604206777,1.045445471,1.243755605,1.181297788,1.007460189,1.006277599,0.713237076,1.231211679,0.964673393,1.053386634,2.177277289,1.045445471,0.744839391,0.888439133,0.803927295,1.150924534,0.98409416,1.488253781,0.888439133,1.045445471,1.006277599,0.98409416,0.99710042,1.488253781,1.050731763,0.939970805,1.006277599,0.865368089,0.888439133,0.803927295,1.256831565,0.950559312,1.050731763,0.865368089,1.1121585,0.787823529,0.713237076,1.007460189,1.046074515,1.292899587,1.050838325,1.083164431,0.925010314,1.064672057,0.86541771,0.713237076,0.474810258,1.050731763,1.087387136,1.168857487,1.150924534,0.939970805,1.121191116,0.925010314,0.865368089,0.744839391,0.474810258,0.686628813,0.876864411,1.150924534,1.007460189,1.053386634,1.064672057,0.964673393,1.181297788,1.046074515,0.925010314,0.787823529,0.79691198,1.064672057,1.010053285,0.98409416,0.939970805,1.28180322,1.056177381,1.006277599,0.876864411,1.064672057,0.950559312,0.888439133,1.168857487,1.010053285,0.79691198,0.713237076,1.174554207,0.745984128,0.803927295,0.939970805,0.888439133,0.803927295
HOP-92,1.883811692,0.833123288,1.075914351,1.355422408,0.870091844,1.883811692,1.075914351,0.970190477,0.984924103,1.404034942,0.617251612,1.012479008,0.994351103,0.904428105,1.480662553,0.977806378,0.699881393,1.009661637,0.827456158,0.840102344,1.015014829,1.021573934,0.859551586,0.949672162,0.803122728,1.286408001,1.075064634,1.015014829,0.912307607,1.012479008,0.954506219,1.051178237,0.815300687,1.015014829,1.335541703,0.873678199,0.954506219,0.948613077,0.912307607,0.784974084,0.958199672,1.511112344,1.335541703,0.948613077,1.045712525,0.835169424,0.708792676,1.480662553,1.021573934,1.015014829,0.940891295,1.052466647,0.765348305,1.254015412,1.227183228,0.708792676,0.708792676,1.355422408,0.998266043,1.287089597,1.286408001,1.075914351,1.045712525,0.988737804,0.948613077,0.859551586,0.708792676,0.65841982,0.833123288,1.286408001,1.480662553,0.840102344,1.009661637,0.827456158,0.904428105,1.021573934,0.765348305,1.037765717,1.143530117,1.009661637,0.963142678,0.599643747,0.84858332,0.86161913,1.211473039,0.957192075,0.833123288,1.009661637,1.726978578,1.095969364,1.287089597,0.963142678,1.143530117,0.708792676,0.804493073,1.075914351,0.803122728,0.84858332,1.095969364,0.803122728
Hs-578-T,1.174408841,0.859913436,0.932011583,1.016843693,0.929722734,1.163678032,1.201398958,1.074065205,0.929722734,0.908432973,0.854706569,1.163773812,0.907271023,1.278836445,1.172641992,0.929722734,0.487306479,1.191465846,1.102364187,0.995422784,1.107866434,1.123761581,1.034074121,0.880629555,0.807272425,1.392866138,0.861955528,1.107866434,0.93705313,1.163773812,0.905883034,0.910168544,0.905587439,1.107866434,1.002259266,0.932011583,0.905883034,0.832192778,0.868105321,0.897291199,1.14946743,1.113328825,1.002259266,0.833660808,0.855995151,1.11109264,0.568294528,1.123696649,1.106526922,1.107866434,1.064313018,1.056835733,0.918014635,1.345660889,1.159573732,0.568294528,0.526755023,1.016843693,0.908432973,1.660964189,1.358860805,1.201398958,0.854483526,0.91557323,0.832192778,1.238251777,0.544844286,1.459729504,0.906818301,1.358860805,1.182013506,0.995422784,1.136394749,1.102364187,1.278836445,1.106526922,0.918014635,1.118461631,1.046794107,1.136394749,0.959394522,0.861955528,0.933554319,1.278836445,1.124326587,0.905883034,0.859913436,1.345660889,1.153580859,0.923448342,1.660964189,0.959394522,1.089121275,0.568294528,0.936495293,1.124326587,0.807272425,0.933554319,0.923448342,0.807272425
